Model,Accuracy,Precision,F1-Score,ROC-AUC,Recall
Logistic Regression,0.8041163946061036,0.6611842105263158,0.5929203539823009,0.8458213852075744,0.5374331550802139
Gradient Boosting,0.801277501774308,0.6643356643356644,0.5757575757575758,0.8427084140639128,0.5080213903743316
Random Forest,0.8019872249822569,0.6643598615916955,0.579185520361991,0.8371657754010696,0.5133689839572193
XGBoost,0.7806955287437899,0.6051779935275081,0.5475841874084919,0.8203492727789403,0.5
Decision Tree,0.7601135557132718,0.5497237569060773,0.5407608695652174,0.7542289906740034,0.5320855614973262
